Name,ReleaseDate,Label,Album,pop1,pop2,pop3,pop4,nonBandMemberWriters,lyricalComplexity,musicalComplexity,totalComplexity,Artist
Animals,2014-08-25,NA,v (Deluxe),0.10324876904505503,0.07754570416690586,0.7055885547639411,0.6820203958755696,2,-0.9184169142738919,-0.2612218840426582,-1.1796387983165502,Maroon 5
Cold,2017-02-14,222 Records / Interscope,Red Pill Blues + (Deluxe),-0.482602633475046,-0.5169409983857982,0.45158148368369516,0.3080094997090964,5,0.1828215286789437,0,0.1828215286789437,Maroon 5
Come Away to the Water,2012-03-16,NA,NA,-0.5614986941317776,-0.66011144574779,-2.3141786788340815,-1.667754555188795,NA,0.23187083243523737,0,0.23187083243523737,Maroon 5
Daylight,2012-11-27,222 Records / Interscope,Overexposed Track by Track,-0.30720484647133134,-0.35205140092859794,0.6312067524327845,0.6874796838716912,3,-0.5882573917249114,0,-0.5882573917249114,Maroon 5
Don't Wanna Know,2016-10-12,222 Records / Interscope,Red Pill Blues + (Deluxe),-0.17689792665188717,-0.13812470828348306,0.6500945051620491,0.8678375892682345,7,-0.778353960434196,0,-0.778353960434196,Maroon 5
Girls Like you,2018-05-30,222 Records / Interscope,Red Pill Blues + (Deluxe),3.430600866799945,2.8025884793736844,0.741649612665917,0.984845273586716,5,0.37114240055712006,-0.4027735553432803,-0.03163115478616024,Maroon 5
Girls Like you,2018-05-30,222 Records / Interscope,Red Pill Blues + (Deluxe),3.430600866799945,2.8025884793736844,0.741649612665917,0.984845273586716,5,0.5126525333766372,-0.4027735553432803,0.10987897803335689,Maroon 5
Give a Little more,2010-08-17,NA,Hands all over (Deluxe),-0.5615045836589826,-0.6602080610804814,-2.6379711775617807,-1.9757562918943605,0,-1.0776427794117354,0,-1.0776427794117354,Maroon 5
Harder to Breathe,2002-06-25,A&m/Octone,Songs About Jane,-0.43911962468315346,-0.4975000488680802,0.40908804765276924,0.37883938461549865,0,2.6150265257000838,2.595343472033382,5.210369997733466,Maroon 5
If i Never See your Face Again,2008-05-02,222 Records / Interscope,it Won't be Soon Before Long.,-0.521172448735712,-0.5948542010613819,-0.4950572610628973,-1.0910702818141589,0,-0.9187564954570273,0,-0.9187564954570273,Maroon 5
If i Never See your Face Again,2008-05-02,222 Records / Interscope,it Won't be Soon Before Long.,-0.521172448735712,-0.5948542010613819,-0.4950572610628973,-1.0910702818141589,0,-0.9012930037960207,0,-0.9012930037960207,Maroon 5
If i Never See your Face Again,2008-05-02,222 Records / Interscope,Red Pill Blues + (Deluxe),-0.521172448735712,-0.5948542010613819,-0.4950572610628973,-1.0910702818141589,0,-0.9187564954570273,0,-0.9187564954570273,Maroon 5
If i Never See your Face Again,2008-05-02,222 Records / Interscope,Red Pill Blues + (Deluxe),-0.521172448735712,-0.5948542010613819,-0.4950572610628973,-1.0910702818141589,0,-0.9012930037960207,0,-0.9012930037960207,Maroon 5
it Was Always you,2014-08-29,222 Records / Interscope,v (Deluxe),-0.5605546109572196,-0.6525832091579156,-0.2929477135500432,-1.6430529007847097,3,0.88133560882729,0,0.88133560882729,Maroon 5
Love Somebody,2013-05-14,222 Records / Interscope,Overexposed Track by Track,-0.389575314671331,-0.4055244186718546,0.573315140912589,0.7826697150798007,3,-1.073800129810897,0,-1.073800129810897,Maroon 5
Makes Me Wonder,2007-03-27,A&m/Octone,it Won't be Soon Before Long.,-0.011687118320059024,0.48443732271541395,0.741649612665917,0.6682928560267339,0,0.01748532006687512,0,0.01748532006687512,Maroon 5
Maps,2014-06-16,222 Records / Interscope,v (Deluxe),-0.318014630133773,-0.23210410418829347,0.6500945051620491,0.9505329937276119,4,-0.50227244372307,0,-0.50227244372307,Maroon 5
Misery,2010-06-22,A&m/Octone,Hands all over (Deluxe),-0.4347946258538836,-0.4652380053836266,0.4930877581967477,0.6716328028109975,0,0.38341853791213604,0,0.38341853791213604,Maroon 5
Moves Like Jagger,2011-06-21,A&m/Octone,NA,1.1250404155137703,1.6108775469653938,0.741649612665917,0.8252468513377826,3,-1.2895334386031572,-0.5800625973965285,-1.8695960359996857,Maroon 5
Never Gonna Leave this Bed,2011-05-17,A&m/Octone,Hands all over (Deluxe),-0.5265252304388756,-0.6029280281510332,-0.6437304878187765,-1.094859873874061,0,-0.6379454073678481,0,-0.6379454073678481,Maroon 5
One more Night,2012-06-19,222 Records / Interscope,Overexposed Track by Track,1.13760094952742,2.2787595693515903,0.741649612665917,0.6981343145564174,3,0.2990423026879955,0,0.2990423026879955,Maroon 5
Payphone,2012-04-17,222 Records / Interscope,Overexposed Track by Track,0.4893411756523981,0.992188776142315,0.723710056646097,1.0102895640479213,5,1.4611395623400651,0,1.4611395623400651,Maroon 5
She will be Loved,2002-06-25,A&m/Octone,Songs About Jane,0.19156715615628042,0.051647543111588826,0.6687846836340159,0.8498774393266826,0,0.6359087995326554,0.27633928031497595,0.9122480798476313,Maroon 5
